Wall time,Step,Value
1703707113.408129,49,0.0254837553948164
1703707120.2427835,99,0.01581261307001114
1703707127.2376246,149,0.012920564971864223
1703707134.2386956,199,0.016376573592424393
1703707141.2907686,249,0.008435581810772419
1703707148.756042,299,0.007889767177402973
1703707155.8379364,349,0.009117894805967808
1703707162.988327,399,0.008276698179543018
1703707169.8205905,449,0.005307647865265608
1703707176.6701362,499,0.0049414546228945255
1703707183.8735135,549,0.00539338169619441
1703707190.7046437,599,0.0055001783184707165
1703707197.5380032,649,0.0033777018543332815
1703707204.4089568,699,0.0032971904147416353
1703707211.247454,749,0.003745335154235363
1703707218.4636009,799,0.00398232601583004
1703707225.296874,849,0.003001346020027995
1703707232.1405928,899,0.0027608408126980066
1703707239.0064826,949,0.002628874033689499
1703707245.8761964,999,0.0024279893841594458
1703707253.1341653,1049,0.0024841732811182737
1703707259.984602,1099,0.0019571094308048487
1703707266.8277566,1149,0.002346174791455269
1703707273.8036127,1199,0.0016697783721610904
1703707280.7486923,1249,0.0015872918302193284
1703707288.0176768,1299,0.002683167578652501
1703707294.906288,1349,0.0015646903775632381
1703707301.850888,1399,0.001809599227271974
1703707308.7990487,1449,0.0013486408861353993
1703707315.7191157,1499,0.0015268516726791859
1703707323.0075653,1549,0.0014259073650464416
1703707329.8866284,1599,0.00184627587441355
1703707336.7490299,1649,0.0013634766219183803
1703707343.6190147,1699,0.0012167789973318577
1703707350.482565,1749,0.0014538407558575273
1703707357.6807888,1799,0.001089962082915008
1703707364.5334258,1849,0.0017372624715790153
1703707371.3892903,1899,0.0019376414129510522
1703707378.260282,1949,0.00131207553204149
1703707385.1057324,1999,0.000974454393144697
1703707391.9640808,2049,0.0009313164628110826
1703707399.18735,2099,0.0009614198934286833
1703707406.0404952,2149,0.0010802437318488955
1703707412.8930273,2199,0.0009929902153089643
1703707419.7619326,2249,0.0007902118959464133
1703707426.6214964,2299,0.0008050480391830206
1703707433.8588438,2349,0.0012871824437752366
1703707441.0113587,2399,0.0008644266054034233
1703707448.066457,2449,0.0009397375979460776
1703707455.2533631,2499,0.0008199941948987544
1703707462.1621957,2549,0.0008132541552186012
1703707471.332999,2599,0.006380430888384581
1703707478.2763262,2649,0.020551403984427452
1703707485.159373,2699,0.016908198595046997
1703707492.0622954,2749,0.009128531441092491
1703707498.9357624,2799,0.009039690718054771
1703707506.7779973,2849,0.005833421368151903
1703707514.1828527,2899,0.004015117418020964
1703707521.3295906,2949,0.004973084665834904
1703707528.3967705,2999,0.0029616691172122955
1703707535.4053226,3049,0.002467108890414238
1703707543.2578495,3099,0.0019798933062702417
1703707551.0321808,3149,0.0016473267460241914
1703707558.048654,3199,0.0018373886123299599
1703707564.9442604,3249,0.001172126387245953
1703707571.812354,3299,0.0011905885767191648
1703707579.19289,3349,0.0011241055326536298
1703707586.0785484,3399,0.001265019760467112
1703707592.9210863,3449,0.0012447611661627889
1703707599.7840126,3499,0.001142151770181954
1703707606.6546345,3549,0.0014228693908080459
1703707613.9417877,3599,0.0012607434764504433
1703707620.816461,3649,0.0011260091559961438
1703707627.6751149,3699,0.001206628861837089
1703707634.5278761,3749,0.0009766516741365194
1703707641.3696952,3799,0.0010366973001509905
1703707648.2026682,3849,0.0008814946631900966
1703707655.4271877,3899,0.0008142975275404751
1703707662.3175855,3949,0.0008863899856805801
1703707669.2049158,3999,0.0009441795409657061
1703707676.049368,4049,0.0009824626613408327
1703707682.8967938,4099,0.000811908335890621
1703707690.0710354,4149,0.0010320543078705668
1703707696.9261546,4199,0.0007132782484404743
1703707703.7588587,4249,0.0008379840874113142
1703707710.6045747,4299,0.0008932321798056364
1703707717.4313643,4349,0.0008003094117157161
1703707724.6254876,4399,0.0008945662411861122
1703707731.4397104,4449,0.0006521364557556808
1703707738.2553067,4499,0.0008761545759625733
1703707745.090883,4549,0.0008821219671517611
1703707751.941862,4599,0.0009438061970286071
1703707759.1652956,4649,0.000746757083106786
1703707765.9909961,4699,0.0007213712087832391
1703707772.8114958,4749,0.0006673636962659657
1703707779.8661017,4799,0.00067326141288504
1703707786.7820783,4849,0.000744458578992635
1703707794.1266031,4899,0.0007459407788701355
1703707800.984087,4949,0.0009021363803185523
1703707807.8798096,4999,0.0007435080478899181
1703707814.831426,5049,0.0008255738648585975
1703707821.727817,5099,0.0009163973736576736
1703707831.1540797,5149,0.000990023952908814
1703707838.021141,5199,0.0010055913589894772
1703707844.884712,5249,0.0006193803856149316
1703707851.75091,5299,0.0006869470234960318
1703707858.6385005,5349,0.0005738575709983706
1703707866.0153723,5399,0.0008046780712902546
1703707872.9357588,5449,0.0006457344861701131
1703707879.8364701,5499,0.0006604176014661789
1703707886.7558784,5549,0.0006823327858000994
1703707893.774098,5599,0.0006933656404726207
1703707900.669923,5649,0.0005693519487977028
1703707907.960673,5699,0.0017116261878982186
1703707914.8185103,5749,0.0006597041501663625
1703707921.745755,5799,0.0005882686236873269
1703707928.6313994,5849,0.0006134682917036116
1703707935.5497937,5899,0.0005581530858762562
1703707942.763154,5949,0.00047459290362894535
1703707949.6138594,5999,0.0005602273740805686
1703707956.4493277,6049,0.0005761781358160079
1703707963.312358,6099,0.0005535650416277349
1703707970.1531289,6149,0.0005964214797131717
1703707977.3968816,6199,0.0004907478578388691
1703707984.246063,6249,0.0005599734140560031
1703707991.1402023,6299,0.0005225723725743592
1703707997.9791005,6349,0.0004872251593042165
1703708004.8480482,6399,0.0010394464479759336
1703708012.1026878,6449,0.0005616248236037791
1703708019.1102405,6499,0.0004511653969530016
1703708026.0634232,6549,0.00045471577323041856
1703708033.03048,6599,0.0004987727734260261
1703708039.9147496,6649,0.0005739721818827093
1703708047.2642016,6699,0.0005427999421954155
1703708054.4355612,6749,0.00045073346700519323
1703708061.30689,6799,0.0005172259989194572
1703708068.2214725,6849,0.0004215122608002275
1703708075.112338,6899,0.00044796147267334163
1703708082.3346963,6949,0.0004886750248260796
1703708089.168479,6999,0.00042416356154717505
1703708095.9905217,7049,0.00045969162601977587
1703708102.8099291,7099,0.0004446413367986679
1703708109.643022,7149,0.0005659734015353024
1703708117.0566502,7199,0.0005909724859520793
1703708123.888839,7249,0.00047220170381478965
1703708130.71571,7299,0.0004795498389285058
1703708137.575454,7349,0.0005227482179179788
1703708144.4227104,7399,0.00044027433614246547
1703708151.2919693,7449,0.0003706383577082306
1703708158.5226905,7499,0.0003787354507949203
1703708165.3750641,7549,0.0004220044647809118
1703708172.5123582,7599,0.0004448462277650833
